ParentChannelCode,CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,relevance,principal,check,inclusion,employment,intellectual,education,family,advocacy,intellectual2,intellectual.subpurpose,channel,dpo,TopChannelCode,ParentChannelName
22000,2018180216,28235892,2018,C01,ODA Grants,Finland,Tanzania,0.0728914,0,"I.1.a. Education, Level Unspecified",Teacher training,Promoting vocational training for youth with intellectual disabilitiy in Tanzania,PROMOTING VOCATIONAL TRAINING FOR YOUTH WITH INTELLECTUAL DISABILITIY IN TANZANIA,1. Young persons with intellectual disability (ID) have neither rights nor possibilities to get access to pre-vocational education/vocational education and thus lack possibilities to work and earn a living. 2. The project outcomes are: Pre-vocational/vocational education possibilities for youngsters with ID exist in all vocational training centers in the project area. The rights to pre-vocationa/vocational education for the target group are acknowledged. The main project activities include - in-service training for vocational teachers focused on teaching students with ID - mainstreaming courses on special needs education into regular vocational teacher education curriculum-creating and organizing special groups and inclusive teaching possibilities for pre-vocational/vocational education in the vocational training centers in the project area- organizing activities to increase awareness on the rights of persons with ID among responsible education authorities community leaders schools work places and families. 3. The project improves gender equality by focusing especially on girls and women.4. Partners in Finland are FDUV and Kehitysvammaliitto which have knowledge about the target group and experience of work with the target group in East-Africa Optima (special vocational training) and ÅA (special vocational teacher education). Optima and ÅA have knowledge about education and in-service training related to the target group. Local cooperation partners are TAMH (Tanzania Association for Mentally Handicapped) MWAYDEO:s (Mafiga Women and Youth Development Oreganization) (VETA (Vocational Education Teaching Authority) and IAE (Institute of Adult Education). TAMH has local knowledge about the target group MWAYDEO has knowledge of marginalized groups especially women and girls and VETA and IAE have the national responsibility in the field. The project strengthens MWAYDEO:s and TAMH:s work for human rights and VETA:s and IAE:s knowledge and preparedness related to education and training of the target group.5. Youngsters especially girls with intellectual disability.,Significant gender component,Principal disability component,Vaasan Kehitysmaaseura ry,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Vaasan Kehitysmaaseura Ry,Other channel,20000,Donor country-based NGO
22000,2014140766,28924125,2018,C01,ODA Grants,Finland,"South of Sahara, regional",0.255565,0,"I.1.a. Education, Level Unspecified",Teacher training,eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa: phase II (2019-2022),ELEARNING TEACHER TRAINING PROGRAMME FOR LITERACY LEARNING AND TEACHING IN SUB-SAHARAN AFRICA: PHASE II (2019-2022),The quality of education is dependent on teachers skills and competences. However poor quality and availability of teacher training together with limited resources for teaching and learning are affecting children's basic skills development namely literacy and numeracy skills. Especially teachers gaps in teaching reading in local languages are serious challenges that affect education quality and childrens illiteracy. The situation is most serious in Sub-Saharan Africa where more than 85% of children are not learning the minimum reading level until the end of primary education. There is a widespread agreement that the pre-service training and in-service professional development of teachers is a key component for improving childrens reading and success in life. The aim of this project is to enhance the capacities and pedagogical competences of the primary school teachers and special education teachers to teach and support reading and provide tools to improve literacy instruction of children at-risk for reading disabilities and children in general education. This continuation project is based on the preparation phase of eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa (eTALE) financially supported by MFA as a disability project in 2015 and continued with funds carried over to 2016 (www.taleafrica.com). Through international African-Finnish teacher training collaboration we will provide pre-service and in-service training for teachers according to national and international policy strategies and goals of Unesco SDG. This will be achieved by developing and providing comprehensive free online professional development programme eTALE on literacy learning and teaching for teachers special education teachers teacher trainers and trainees and voluntary mentors for illiterate women to improve the quality of teaching reading skills and avoid illiteracy. This eTALE PD programme will be piloted in different contexts in Namibia (primary school teachers) Zambia (teachers of rural community schools) Kenya (special education teachers) and Tanzania (mentors for teaching illiterate women and teacher trainees).,Principal gender component,Principal disability component,Niilo Mäki-säätiö,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Niilo Mäki-säätiö,Other channel,20000,Donor country-based NGO
22000,2018004912,201739564,2018,B01,ODA Grants,Germany,Sri Lanka,0,0.0389425,"I.1.a. Education, Level Unspecified",Teacher training,"Training programme for primary school teachers in identifying children with special needs and their education, Sri Lanka","TRAINING PROGRAMME FOR PRIMARY SCHOOL TEACHERS IN IDENTIFYING CHILDREN WITH SPECIAL NEEDS AND THEIR EDUCATION, SRI LANKA","Training programme for primary school teachers in identifying children with special needs and their education, Sri Lanka",Significant gender component,Not screened,Donor country-based NGO,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2018002002,QZA-18/0159-3,2018,B01,ODA Grants,Norway,China (People's Republic of),0.0560208,0.0337753,"I.1.a. Education, Level Unspecified",Teacher training,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,"The project aims at fulfilling, protecting and promoting the rights and well-being of persons with intellectual disabilities (PIDs) in Nanjing in China through developing a model day care center, training day care center staff, mobilizing parents, interacting with local governmental officials and conducting awareness raising activities in public. The target groups are primarily PIDs (from the age of 16), PIDs' parents and staff in day care centers.",No gender component,Principal disability component,Digni,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,family,advocacy,intellectual,Mixed,Digni,Other channel,20000,Donor country-based NGO
22000,2018001050,QZA-12/0763-323,2018,B01,ODA Grants,Norway,China (People's Republic of),0.00901882,0.0087014,"I.1.a. Education, Level Unspecified",Teacher training,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,Training of teachers in day care centers and training of trainers.,No gender component,Principal disability component,Digni,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Digni,Other channel,20000,Donor country-based NGO
22000,2018180127,25916449,2018,C01,ODA Grants,Finland,Mozambique,0.133338,0,"I.1.a. Education, Level Unspecified",Teacher training,Todos Juntos - All Together,TODOS JUNTOS - ALL TOGETHER,The project will focus on young people between the age of 15 to 25. It will work in two locations one in a poor Maputo suburban neighbourhood and the other in Marracuene district of the Maputo Province. It will attend and involve youth both in and out of school and it aims to reach in total around 8000 beneficiaries (direct and indirect). The project is based on the principle that everyone has the right to participate in social and economic development. Young people's participation in development is an essential element in poverty reduction and reducing inequalities. The project aims at increasing equality among the youth at community level (outcome) and contributing to a more equal and inclusive society at national level (long term impact). To succeed in this the project will ensure that all young people in the project areas have same opportunities to access the project benefits; this means e.g. inclusion of youth with disabilities of different religions sex and language. Through the participation in project activities the youth will be empowered and more prepared to engage itself with the development of their communities. Part of the activities are focused on improving school attendance through explanation classes and advocacy work. The expected outcome for this is to reduce school dropout rates especially among girls and youth with special educational needs. In addition the project will capacitate adults to support young people's life skills and participation. This will be done by training teachers CSO workers and activitists as well as organizing awareness raising events in the project implementation areas.,Significant gender component,No disability component,Suomen lasten ja nuorten säätiö,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,Suomen Lasten Ja Nuorten Säätiö,Other channel,20000,Donor country-based NGO
22000,2014140766,28924125,2018,C01,ODA Grants,Finland,"South of Sahara, regional",0.102226,0,"I.1.a. Education, Level Unspecified",Educational research,eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa: phase II (2019-2022),ELEARNING TEACHER TRAINING PROGRAMME FOR LITERACY LEARNING AND TEACHING IN SUB-SAHARAN AFRICA: PHASE II (2019-2022),The quality of education is dependent on teachers skills and competences. However poor quality and availability of teacher training together with limited resources for teaching and learning are affecting children's basic skills development namely literacy and numeracy skills. Especially teachers gaps in teaching reading in local languages are serious challenges that affect education quality and childrens illiteracy. The situation is most serious in Sub-Saharan Africa where more than 85% of children are not learning the minimum reading level until the end of primary education. There is a widespread agreement that the pre-service training and in-service professional development of teachers is a key component for improving childrens reading and success in life. The aim of this project is to enhance the capacities and pedagogical competences of the primary school teachers and special education teachers to teach and support reading and provide tools to improve literacy instruction of children at-risk for reading disabilities and children in general education. This continuation project is based on the preparation phase of eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa (eTALE) financially supported by MFA as a disability project in 2015 and continued with funds carried over to 2016 (www.taleafrica.com). Through international African-Finnish teacher training collaboration we will provide pre-service and in-service training for teachers according to national and international policy strategies and goals of Unesco SDG. This will be achieved by developing and providing comprehensive free online professional development programme eTALE on literacy learning and teaching for teachers special education teachers teacher trainers and trainees and voluntary mentors for illiterate women to improve the quality of teaching reading skills and avoid illiteracy. This eTALE PD programme will be piloted in different contexts in Namibia (primary school teachers) Zambia (teachers of rural community schools) Kenya (special education teachers) and Tanzania (mentors for teaching illiterate women and teacher trainees).,Principal gender component,Principal disability component,Niilo Mäki-säätiö,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Niilo Mäki-säätiö,Other channel,20000,Donor country-based NGO
22000,2018002659-1,009-116284-A,2018,C01,ODA Grants,Spain,Cameroon,0.00495102,0.00495102,I.1.b. Basic Education,Primary education,Improvement of the educational quality of the Saint Joseph Calasanz school in the Abobo neighborhood of Yaounde in Cameroon,IMPROVEMENT OF THE EDUCATIONAL QUALITY OF THE SAINT JOSEPH CALASANZ SCHOOL IN THE ABOBO NEIGHBORHOOD OF YAOUNDE IN CAMEROON,"Título completo del proyecto: Mejora de la calidad educativa de la escuela Saint Joseph Calasanz del barrio de Abobo de Yaoundé (Camerún) :: El proyecto se centra en la escuela Saint Joseph Calasanz de reciente creación del barrio de Abobo de Yaundé. Forma parte de un plan cuyo objetivo es consolidar el proyecto educativo, su presencia e incidencia en la comunidad.Para ello se ha trazado un plan con tres líneas de trabajo: (1) Formar y motivar al profesorado (2) Equipar a la escuela con materiales y recursos óptimos y (3) Fortalecer su labor educativa e incremento de su capacidad de incidencia en la comunidad beneficiaria.En concreto, este proyecto se centra en completar la compra de libros y materiales para que sirvan de apoyo a la enseñanza para alumnos y alumnas con especiales dificultades de aprendizaje y escasez de medios económicos. También aborda este proyecto la formación al personal educativo para trabajar la perspectiva de género en el ámbito educativo y educación medioambiental, que desemboque en un protocolo con medidas educativas concretas y que permita la transversalización de ambos temas en la escuela, acrecentando su incidencia en estos temas en la comunidad beneficiaria.Objetivo general del proyecto:Mejorar la calidad de la educación primaria de la población infantil de Yaoundé, en Camerún.Objetivo específico del proyecto:Mejorar la garantía de una educación inclusiva de calidad en la escuela Saint Joseph Calasanz del barrio de Abobó en YaundéBeneficiarios: directos 218 (208 alumnas y alumnos y 10 profesores), indirectos 1.538 personas.",Significant gender component,No disability component,Itaka Escolapio Foundation,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Itaka Escolapio Foundation,Other channel,20000,Donor country-based NGO
22000,2018005869-1,009-120721-A,2018,C01,ODA Grants,Spain,Bolivia,0.00873198,0.00654899,I.1.b. Basic Education,Primary education,Antawara Consolidation Children and young people in the street,ANTAWARA CONSOLIDATION CHILDREN AND YOUNG PEOPLE IN THE STREET,"Título completo del proyecto: Consolidación Antawara: Niños, niñas y jóvenes de la calle. :: El proyecto plantea como objetivo minimizar las carencias de la población indígena, en cuanto a alfabetización se refiere, aportando los medios materiales, técnicos, personales y la experiencia de la entidad. Promover la alfabetización de los menores que han abandonado su escolarización primaria o tienen dificultades para la normal.Consiste en un programa de alfabetización  que prepara para incorporarse al sistema formal de educación y la adquisición de hábitos saludables de higiene y salud.Los beneficiarios directos son 120 menores de entre los 3 y los 19 años sin formación académica, con necesidades especiales o discapacidad. Familias con bajo recursos procedentes en situación de extrema pobreza. Hogares desestructurados, víctimas de malos tratos y elevado casos de abusos sexuales. Menores con consumo elevado de alcohol e inhalantes, así como pertenecientes a pandillas.",No gender component,No disability component,Solidaridad con América Latina - Castilla y León,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,education,family,Not advocacy,intellectual,Mixed,Solidaridad Con América Latina - Castilla Y León,Other channel,20000,Donor country-based NGO
22000,2017081329,2017140000009,2018,C01,ODA Grants,Korea,Mongolia,0,0.201555,I.1.b. Basic Education,Primary education,Project for Establishing and Managing Special Education Support Center at Ulaanbaatar in Mongolia,PROJECT FOR ESTABLISHING AND MANAGING SPECIAL EDUCATION SUPPORT CENTER AT ULAANBAATAR IN MONGOLIA,"Reinforcement of special instructor`s professionalism, and service expansion of special education",No gender component,No disability component,Donor country-based NGO,Donor country-based NGO,22000,Principal,Yes,No,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2012000168005,SCR.CTR.335356,2018,C01,ODA Grants,EU Institutions,Lebanon,0,0.0555492,I.1.b. Basic Education,Primary education,For a better integration of Palestine children and students refugees with special needs in the formal and non formal education sector,FOR A BETTER INTEGRATION OF PALESTINE CHILDREN AND STUDENTS REFUGEES WITH SPECIAL NEEDS IN THE FORMAL AND NON FORMAL EDUCATION SECTOR,"",No gender component,No disability component,Donor country-based NGO,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2018004680,3263,2018,B01,ODA Grants,Italy,Honduras,0.00807079,0.00807079,I.1.b. Basic Education,Primary education,Institute of Educational psychology  Juana Leclerc,INSTITUTE OF EDUCATIONAL PSYCHOLOGY  JUANA LECLERC,"Instituto Psicopedagogico Juana Leclerc is a nonprofit institution lof Tegucigalpa. The organization runs a model project for inclusive education, labor inclusion and a resource center for training in the region. The programme implemented by CBM IT. focuses on the education of children and youngers with intellectual disabilities. The project will promote opportunities for inclusion in the framework of Human Rights.",Significant gender component,Principal disability component,5X1000,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,employment,intellectual,education,Not family,advocacy,intellectual,Mixed,5X1000,Other channel,20000,Donor country-based NGO
22000,2017005612-1,009-113195-A,2018,C01,ODA Grants,Spain,Peru,0,0.0123677,I.1.b. Basic Education,Primary education,IMPLEMENTING THE INCLUSION AREA FOR THE IMPROVEMENT OF THE QUALITY OF LEARNING PROCESSES FOR STUDENTS WITH SPECIAL NEEDS OF SAN JOSE SCHOOL,IMPLEMENTING THE INCLUSION AREA FOR THE IMPROVEMENT OF THE QUALITY OF LEARNING PROCESSES FOR STUDENTS WITH SPECIAL NEEDS OF SAN JOSE SCHOOL,"Título completo del proyecto: IMPLEMENTACION DEL AREA DE INCLUSION PARA LA MEJORA DE LA CALIDAD DE APRENDIZAJE PARA ESTUDIANTES CON NECESIDADES ESPECIALES DEL COLELGIO SAN JOSE OBRERO, (PERU). :: La I.E.P. San José Obrero se ha propuesto al 2018 brindar una educación de calidad, con equidad e inclusión, formando a personas íntegras, siendo el colegio piloto en educación inclusiva. Dentro de su propuesta pedagógica, se propuso ofrecer un servicio educativo inclusivo, orientado a su público objetivo, gente sencilla y humilde de esta provincia, con gran potencial humano, con una poderosa fuerza de voluntad de hacer las cosas bien y con grandes ganas de triunfar.Actualmente el colegio cuenta con 21 estudiantes con necesidades especiales. El desarrollo e implementación de las aulas de aprendizaje con materiales adecuados para los niños con discapacidad visual, física y motora, facilitará aún más las condiciones de accesibilidad e inclusión de los estudiantes del aula.Para los estudiantes con discapacidad visual, intelectual y física, el uso de tecnologías digitales supone una mayor posibilidad y más fácil acceso a la información, a materiales y recursos didácticos, una mayor posibilidad de ampliar el abanico en sus expectativas formativas y laborales y una gran herramienta de socialización.",Principal gender component,No disability component,"Sed, (Solidaridad, Educación y Desarrollo).",Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,"Sed, (solidaridad, Educación Y Desarrollo).",Other channel,20000,Donor country-based NGO
22000,2014140766,28924125,2018,C01,ODA Grants,Finland,"South of Sahara, regional",0.153339,0,I.1.b. Basic Education,Primary education,eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa: phase II (2019-2022),ELEARNING TEACHER TRAINING PROGRAMME FOR LITERACY LEARNING AND TEACHING IN SUB-SAHARAN AFRICA: PHASE II (2019-2022),The quality of education is dependent on teachers skills and competences. However poor quality and availability of teacher training together with limited resources for teaching and learning are affecting children's basic skills development namely literacy and numeracy skills. Especially teachers gaps in teaching reading in local languages are serious challenges that affect education quality and childrens illiteracy. The situation is most serious in Sub-Saharan Africa where more than 85% of children are not learning the minimum reading level until the end of primary education. There is a widespread agreement that the pre-service training and in-service professional development of teachers is a key component for improving childrens reading and success in life. The aim of this project is to enhance the capacities and pedagogical competences of the primary school teachers and special education teachers to teach and support reading and provide tools to improve literacy instruction of children at-risk for reading disabilities and children in general education. This continuation project is based on the preparation phase of eLearning teacher training programme for literacy learning and teaching in Sub-Saharan Africa (eTALE) financially supported by MFA as a disability project in 2015 and continued with funds carried over to 2016 (www.taleafrica.com). Through international African-Finnish teacher training collaboration we will provide pre-service and in-service training for teachers according to national and international policy strategies and goals of Unesco SDG. This will be achieved by developing and providing comprehensive free online professional development programme eTALE on literacy learning and teaching for teachers special education teachers teacher trainers and trainees and voluntary mentors for illiterate women to improve the quality of teaching reading skills and avoid illiteracy. This eTALE PD programme will be piloted in different contexts in Namibia (primary school teachers) Zambia (teachers of rural community schools) Kenya (special education teachers) and Tanzania (mentors for teaching illiterate women and teacher trainees).,Principal gender component,Principal disability component,Niilo Mäki-säätiö,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,Niilo Mäki-säätiö,Other channel,20000,Donor country-based NGO
22000,2018000832-1,009-114445-A,2018,C01,ODA Grants,Spain,El Salvador,0.119188,0.119188,I.1.b. Basic Education,Primary education,"Improvement of educational level of students in the third cycle of 6 schools in the municipality of Sacacoyo, department of La Libertad in El Salvador","IMPROVEMENT OF EDUCATIONAL LEVEL OF STUDENTS IN THE THIRD CYCLE OF 6 SCHOOLS IN THE MUNICIPALITY OF SACACOYO, DEPARTMENT OF LA LIBERTAD IN EL SALVADOR",El proyecto consiste en reforzar el rendimiento escolar de los estudiantes de 6 centros escolares de Sacacoyo. Se pretende implementar un programa de refuerzo escolar para estudiantes con bajo rendimiento académico o dificultades de aprendizaje acompañado de un programa de atención psicopedagógica y de prevención de conflictos para jóvenes en situación de alta vulnerabilidad. También se pondrá en marcha una estrategia de refuerzo de capacidades docentes de prevención de problemas  de adicciones y eduacion sexual,Significant gender component,No disability component,CESAL,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,CESAL,Other channel,20000,Donor country-based NGO
22000,2013130044,23816824,2018,C01,ODA Grants,Finland,Ethiopia,0.161117,0.0478845,I.1.b. Basic Education,Primary education,Creating a safe and equitable living and learning environment for children with disabilities in Ethiopia,CREATING A SAFE AND EQUITABLE LIVING AND LEARNING ENVIRONMENT FOR CHILDREN WITH DISABILITIES IN ETHIOPIA,This project is a three-year intervention for creating a safe and equitable living and learning environment for children with disabilities in Bishoftu and Dukem towns. Berhan Lehetsanat is responsible for implementation with Interpedia Finland both child rights organizations with a long experience of working with CwDs.In Ethiopia disability is still a source of social and economic exclusion. Since 2008 BL & Interpedia have initiated disability programs in 12 kebeles of Bishoftu directly reaching over 800 CwDs enabling over 450 CwDs to access rehabilitation over 660 CwDs to access inclusive/special education enhancing capacity of government and community structures to engage in disability creating access to skills trainings constructing a skills training center enhancing income of over 400 families of CwDs enhancing accessibility of schools and increasing community awareness. This project will especially address the last remaining two kebeles of Bishoftu town and three kebeles of Dukem and create a fully functional referral linkage for CwDs.The direct beneficiaries are over 200 CwDs and their parents & 60 CwDs in skills training as well as schools government representatives and community structures. The project will strive to enhance the overall wellbeing and integration of CwDs and their families via improved access to disability prevention and rehabilitation services; to enhance access to quality and inclusive education for CwDs; improved access to inclusive vocational and skills trainings & to increase the commitment and actions of duty bearers and community-based structures in coordinating and mainstreaming disability issues.The projects main strategy is Community Based Rehabilitation along with rehabilitation livelihood & skills trainings awareness raising and building capacities of stakeholders. The project applies the rights based approach building capacities of CwDs and families as rights-holders also supporting capacity of duty bearers to ensure structures resources and mecha¬nisms for accountability are in place. The project will also contribute to reduction of inequality gender equality as well as climate sustainability.,No gender component,Principal disability component,Interpedia,Donor country-based NGO,22000,Principal,Yes,No,inclusion,employment,intellectual,education,family,advocacy,intellectual,Mixed,Interpedia,Other channel,20000,Donor country-based NGO
22000,2018005207,201775899,2018,B01,ODA Grants,Germany,Malawi,0,0.100332,I.1.b. Basic Education,Primary education,"Disability Inclusiveness, Sanitation, Hygiene and Environmental protection at ETTC and Partner Schools (DISHE)","DISABILITY INCLUSIVENESS, SANITATION, HYGIENE AND ENVIRONMENTAL PROTECTION AT ETTC AND PARTNER SCHOOLS (DISHE)",Primary school learners with special needs and disabilities have increased access to quality primary school education in Lilongwe Rural East and Dedza North West education districts of Malawi.,Significant gender component,Not screened,Donor country-based NGO,Donor country-based NGO,22000,Principal,Yes,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Donor Country-based NGO,Other channel,20000,Donor country-based NGO
22000,2017000135,24-2017-A,2018,C01,ODA Grants,Estonia,"Bilateral, unspecified",,0.00434966,I.1.b. Basic Education,Primary education,Volunteers to Africa and Asia – Estonian experts contribution to development cooperation 2017-2018,VOLUNTEERS TO AFRICA AND ASIA – ESTONIAN EXPERTS CONTRIBUTION TO DEVELOPMENT COOPERATION 2017-2018,"The project continues to send Estonian expert volunteers to the NGO Mondo partner countries to ensure sustainability and improvement of its educational activities. The project focuses on education in rural areas: improving the quality of education at primary level, for the children with special needs and at the vocational level for midwives and nurses in Ghana and Kenya, and increasing opportunities for access to higher education in Burma. The missions of 4 educational experts and 2 medical experts continue to support development cooperation between Estonia and partner countries, provide a unique opportunity for the Estonian educational institutions for cooperation with counterparts in the developing countries.",Not screened,Not screened,NGO Mondo,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,NGO Mondo,DPO,20000,Donor country-based NGO
22000,20180C2880,1142,2018,B01,ODA Grants,Belgium,Cambodia,1.04444,1.04444,I.1.b. Basic Education,Primary education,Strengthening_Math_Results_and_Teaching_SMART,STRENGTHENING_MATH_RESULTS_AND_TEACHING_SMART,"General description:  The VVOB 2017-2021 programme in Cambodia will upgrade the capacity of teacher trainers and practice school supervisors at 4 Teacher Education Colleges (TECs) in the provinces of Phnom Penh, Battambang, Kandal and Kampong Cham. Teacher trainers and practice school supervisors will be supported in different ways to upgrade their content knowledge of and pedagogical skills in mathematics, and to manage their classroom to deliver differentiated instruction taking into account learning difficulties and learning disabilities of pupils. All of VVOB's capacity development activities will be gender-sensitive. A total of 120 teacher trainers and 540 practice school supervisors will be directly supported by VVOB's programme. By the end of the programme and each subsequent year, 1,000 student teachers of TECs will benefit from the programme, 6,200 pupils in practice schools will benefit from the upgraded teaching skills of their practice school supervisors, and last but not least, 45,000 pupils will benefit from the upgraded capacities of the student teachers who become teachers in primary schools throughout the country. Finally, the programme will deliver support to upgrade the skills of TEC managers and school leaders of practice schools to evaluate performance and support teacher trainers and teachers, and to manage their colleges and schools in a gender-sensitive and environment-friendly way. --",Significant gender component,Not screened,VVOB - Vlaamse Vereniging voor Ontwikkelingssamenwerking en technische Bijstand,Donor country-based NGO,22000,Significant,Yes,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,intellectual,Mixed,VVOB - Vlaamse Vereniging Voor Ontwikkelingssamenwerking En Technische Bijstand,Other channel,20000,Donor country-based NGO
22000,2018002050-1,009-115674-A,2018,C01,ODA Grants,Spain,Mozambique,0.373121,0.0746242,I.1.b. Basic Education,Primary education,Citizenship in Schools For a quality primary education participatory inclusive and with values,CITIZENSHIP IN SCHOOLS FOR A QUALITY PRIMARY EDUCATION PARTICIPATORY INCLUSIVE AND WITH VALUES,"La propuesta tiene como objetivo general contribuir al fortalecimiento y mejora del derecho a una Enseñanza Básica en Mozambique. En el distrito se han seleccionado cinco escuelas públicas primarias situadas en barrios muy conocidos por CESAL y por Khandlelo. El objetivo específico es mejorar las dimensiones de calidad y aceptabilidad del derecho humano a la educación a través del desarrollo de programas curriculares e infraestructuras sostenibles en estas escuelas que fomenten una educación proactiva, inclusiva y con valores de género y medioambientales, desde un enfoque de derechos humanos y con una gestión participativa en las escuelas. El primer resultado (dimensión de aceptabilidad), hace referencia al desarrollo e implementación de dos programas: un programa psicopedagógico que sea capaz de incluir, integrar y de mejorar el rendimiento escolar de las/los alumnos/as con necesidades especiales en cada escuela, y un programa de refuerzo escolar e integración que contribuirá a una mejor integración de los alumnos/as con necesidades especiales de los últimos cursos de primaria. El segundo resultado (calidad), pretende fortalecer institucionalmente a los Servicios Distritales y a los Consejos Escolares, para un mejor conocimiento de sus funciones y competencias y para la puesta en marcha de una Red Distrital de Consejos Escolares en Nhlamankulu. Por último, el tercer resultado (participación), instaurará un proceso de gestión transparente, participativa y democrática en la escuela, promoviendo así la identificación y la solución de conflictos de forma consensuada entre los actores. Cada uno de estos resultados contempla incentivar la participación de toda la comunidad escolar para una adecuada gestión de la enseñanza.",Significant gender component,No disability component,CESAL,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,family,advocacy,intellectual,Mixed,CESAL,Other channel,20000,Donor country-based NGO
22000,2018003561-1,009-117546-A,2018,C01,ODA Grants,Spain,Mozambique,0.104543,0.0615092,I.1.b. Basic Education,Primary education,Passport for life For a quality primary school,PASSPORT FOR LIFE FOR A QUALITY PRIMARY SCHOOL,"La propuesta tiene como objetivo general contribuir al fortalecimiento y mejora del derecho a una Enseñanza Básica en Mozambique. Para ello, centra su actuación en el Distrito de Nhlamankulu, uno de los distrititos más poblados y marginados de la capital.En el distrito se han seleccionado cuatro escuelas públicas primarias situadas en dos de los barrios más conflictivos de Maputo, pero muy conocidos por CESAL y por el Socio local, Khandlelo. El objetivo específico es mejorar las dimensiones de calidad y aceptabilidad del derecho humano a la educación a través del desarrollo de programas curriculares e infraestructuras sostenibles en estas escuelas que fomenten unaeducación proactiva, inclusiva y con valores de género y medioambientales, desde un enfoque de derechos humanos y con una gestión participativa en las escuelas. El primer resultado, centrado en la dimensión de aceptabilidad, hace referencia al desarrollo e implementación de dos programas: un programa psicopedagógico que sea capaz de incluir, integrar y de mejorar el rendimiento escolar de las/los alumnos/as con necesidades especiales en cada escuela, y un programa de refuerzo escolar eintegración que contribuirá a una mejor integración de los alumnos/as con necesidades especiales de los últimos cursos de primaria (6º y 7º). Ambos programas incorporan el enfoque de género, medioambiental y de inclusión. El segundo resultado, pretende fortalecer institucionalmente a los Servicios Distritales y a los Consejos Escolares, para un mejor conocimiento de sus funciones y competencias y para la puesta en marcha de una Red Distrital de Consejos Escolares en Nhlamankulu. Este resultado aborda la dimensión de calidad. Por último, el tercer resultado, orientado a la dimensión de participación, instaurará un proceso de gestión transparente, participativa y democrática en la escuela, promoviendo así la identificación y la solución de conflictos de forma consensuada entre los actores. Cada uno de estos resultados contempla incentivar laparticipación de toda la comunidad escolar para una adecuada gestión de la Enseñanza.",Significant gender component,No disability component,CESAL,Donor country-based NGO,22000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,family,advocacy,intellectual,Mixed,CESAL,Other channel,20000,Donor country-based NGO
