CrsID,ProjectNumber,Year,FlowName,DonorName,RecipientName,USD_Disbursement_Defl,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,SubPurpose
2013130471,89892250,2018,ODA Grants,Finland,"Bilateral, unspecified",0.166673,Social Protection,INT/UN Partnership to Promote the Rights of Persons With Disabilities UNPRPD,INT/UN PARTNERSHIP TO PROMOTE THE RIGHTS OF PERSONS WITH DISABILITIES UNPRPD,It is estimated that more than a billion people - about 15 % of the world's population - live with some form of disability. They experience higher rates of poverty less legal protection lower educational achievements poorer health outcomes and less policitical and cultural participation among others particularly in lower income countries.  The UNPRPD Partnership brings together the UN system (UNDP UNICEF ILO WHO UNDESA OHCHR UNFPA UNESCO UN Women) governments Disabled Persons Organizations and the broader civil society to advance disability rights around the world.  It operates through a Multi-Partner Trust Fund managed by the UNDP. The  UNPRPD aims at developing the capacities of national stakeholders particularly governments and organizations of persons with disabilities for the effective implementation of the CRPD (Convention on the Rights of Persons with Disabilities) including through promoting disability-inclusive internationally agreed development goals. This will happen by mainstreaming the disability rights within the UN system and by financing local or global projects and involve targeted as well as mainstreamed approaches (350.000  each). The involvement of government civil society and UN Country Teams ensure the quality relevance and sustainability of the projects.  Round 1 projects are showing promising results by promoting the rights of persons with mental and intellectual disabilities by  the establishment of Ombudsman for Psychiatry and promotion of de-institutionalization in Moldova. In Togo inclusive education  has increased the enrollment rates of disabled children by 132 %.  A National Charter for the Rights or Persons with Disabilities was developed and it generated formal commitments in Tunisia. Also a network of Inclusive Cities with official public commitment to their budgets was created in Indonesia. Legal assistance is provided for  more than 1000 disabled persons in Vietnam and 60 DPO's have received training on the rights of disabled persons and policy advocacy techniques. In Costa Rica job opportunities and self-employment activities were created.  Finland is the biggest donor government followed by Australia and she is  also  member of the UNPRPD Policy Board and Management Committee.  Finland  has channelled 7.560.000 million euros to the partnership  (2012-2016) and will channel 15 million  in 2017. Read more:  real-time Trust Fund factsheet  http://mptf.undp.org/factsheet/fund/RPD00,Significant gender component,Principal disability component,UN Development Programme,United Nations Development Programme,Mixed
2013130471,89892250,2018,ODA Grants,Finland,"Bilateral, unspecified",0.166673,Multisector aid for basic social services,INT/UN Partnership to Promote the Rights of Persons With Disabilities UNPRPD,INT/UN PARTNERSHIP TO PROMOTE THE RIGHTS OF PERSONS WITH DISABILITIES UNPRPD,It is estimated that more than a billion people - about 15 % of the world's population - live with some form of disability. They experience higher rates of poverty less legal protection lower educational achievements poorer health outcomes and less policitical and cultural participation among others particularly in lower income countries.  The UNPRPD Partnership brings together the UN system (UNDP UNICEF ILO WHO UNDESA OHCHR UNFPA UNESCO UN Women) governments Disabled Persons Organizations and the broader civil society to advance disability rights around the world.  It operates through a Multi-Partner Trust Fund managed by the UNDP. The  UNPRPD aims at developing the capacities of national stakeholders particularly governments and organizations of persons with disabilities for the effective implementation of the CRPD (Convention on the Rights of Persons with Disabilities) including through promoting disability-inclusive internationally agreed development goals. This will happen by mainstreaming the disability rights within the UN system and by financing local or global projects and involve targeted as well as mainstreamed approaches (350.000  each). The involvement of government civil society and UN Country Teams ensure the quality relevance and sustainability of the projects.  Round 1 projects are showing promising results by promoting the rights of persons with mental and intellectual disabilities by  the establishment of Ombudsman for Psychiatry and promotion of de-institutionalization in Moldova. In Togo inclusive education  has increased the enrollment rates of disabled children by 132 %.  A National Charter for the Rights or Persons with Disabilities was developed and it generated formal commitments in Tunisia. Also a network of Inclusive Cities with official public commitment to their budgets was created in Indonesia. Legal assistance is provided for  more than 1000 disabled persons in Vietnam and 60 DPO's have received training on the rights of disabled persons and policy advocacy techniques. In Costa Rica job opportunities and self-employment activities were created.  Finland is the biggest donor government followed by Australia and she is  also  member of the UNPRPD Policy Board and Management Committee.  Finland  has channelled 7.560.000 million euros to the partnership  (2012-2016) and will channel 15 million  in 2017. Read more:  real-time Trust Fund factsheet  http://mptf.undp.org/factsheet/fund/RPD00,Significant gender component,Principal disability component,UN Development Programme,United Nations Development Programme,Mixed
2.015E+12,SCR.CTR.377364,2018,ODA Grants,EU Institutions,Ukraine,0.113031,Social Protection,Strengthening the capacity of parent-led CSOs to support the delivery of reforms that address the rights and needs of young children with disabilities,STRENGTHENING THE CAPACITY OF PARENT-LED CSOS TO SUPPORT THE DELIVERY OF REFORMS THAT ADDRESS THE RIGHTS AND NEEDS OF YOUNG CHILDREN WITH DISABILITIES,To support parent led CSOs to pay a key role in delivering reforms that enable children with disabilities and special needs to have the best start of life,No gender component,Principal disability component,Donor country-based NGO,Donor country-based NGO,Mixed
2012000343,85202503,2018,ODA Grants,Finland,Lebanon,0.102004,Medical services,Mental health for vulnerable groups: A complex multidisciplinary model combining client centered and community approaches,MENTAL HEALTH FOR VULNERABLE GROUPS: A COMPLEX MULTIDISCIPLINARY MODEL COMBINING CLIENT CENTERED AND COMMUNITY APPROACHES,Continuation project Mental health for groups with complex needs: A multidisciplinary model combining client centred and community approacher. The plan is to participate in four years time in the mental health strategic planning process. In previous period the Family Guidance Centers (FGC) treated 316 children who were referred to FGC. One third of them completed the treatment successfully. Among them there were 75 children with special needs. FGCs arranged special education and rehabiliation service for them. All parents express high satisfaction. During the project period concerning the coordination and development issues it started to emerge needs for changes in the setting. To tackle them and step forward organisation has decided to work on a strategic plan for mental health program. However planning has not really started maybe because of big workload but also therefore that the tacit special knowledge accumalated during 20 years is not easy to shape public and divisible. During 4 years time FiPSR will by the support of Ministry for Foreing Affairs accompany NISCVT in the strategy planning. Mental health program works in a landscape which the management and regional sciences call wicked problem. During the work FiPSR supports the basic work in two family guidance centers and rehabilitation of children with special needs in three centers. Estimated number of children is 370-420 of them 60-80 children with special needs.,Significant gender component,Significant disability component,Psychologists for Social Responsibility,Donor country-based NGO,Mixed
2012000343,85202503,2018,ODA Grants,Finland,Lebanon,0.102004,Social Protection,Mental health for vulnerable groups: A complex multidisciplinary model combining client centered and community approaches,MENTAL HEALTH FOR VULNERABLE GROUPS: A COMPLEX MULTIDISCIPLINARY MODEL COMBINING CLIENT CENTERED AND COMMUNITY APPROACHES,Continuation project Mental health for groups with complex needs: A multidisciplinary model combining client centred and community approacher. The plan is to participate in four years time in the mental health strategic planning process. In previous period the Family Guidance Centers (FGC) treated 316 children who were referred to FGC. One third of them completed the treatment successfully. Among them there were 75 children with special needs. FGCs arranged special education and rehabiliation service for them. All parents express high satisfaction. During the project period concerning the coordination and development issues it started to emerge needs for changes in the setting. To tackle them and step forward organisation has decided to work on a strategic plan for mental health program. However planning has not really started maybe because of big workload but also therefore that the tacit special knowledge accumalated during 20 years is not easy to shape public and divisible. During 4 years time FiPSR will by the support of Ministry for Foreing Affairs accompany NISCVT in the strategy planning. Mental health program works in a landscape which the management and regional sciences call wicked problem. During the work FiPSR supports the basic work in two family guidance centers and rehabilitation of children with special needs in three centers. Estimated number of children is 370-420 of them 60-80 children with special needs.,Significant gender component,Significant disability component,Psychologists for Social Responsibility,Donor country-based NGO,Mixed
2018181602,ET704,2018,ODA Grants,Finland,Ethiopia,0.101932,Multisector aid for basic social services,F.a: Dessie Kombolcha Community Based Rehabilitation Project for People with Disabilities,F.A: DESSIE KOMBOLCHA COMMUNITY BASED REHABILITATION PROJECT FOR PEOPLE WITH DISABILITIES,"The project contributes to the enhancement of PwDs through maximizing their physical and mental activities, increased access to regular service opportunities, and becoming active contributors to the community & society at large in Dessie and Kombolcha, in Amhara Region, using Community Based Rehabilitation (CBR). The project will adopt a holistic approach and provide services that encompass health, education, training, advocacy, disability awareness, IGAs. The project seeks to ensure active participation and inclusion of PwDs in the community. School teachers will be trained in sign language, special need education and inclusive education. PwDs will be empowered through economic strengthening schemes & psycho-social support mechanisms. This include introduction of small business management training, provision of startup money, educational support, provision of appliances follow-up and counseling, etc. The project will strengthen major stakeholders of CBR projects and build the capacity of project personnel and the pertinent stakeholders of CBR in the project catchment area through short-term trainings. The direct beneficiaries of the project are the approximately 300 PwDs (children, young people, adults) and indirect beneficiaries approximately 12.000 persons in the area. The project is implemented in close cooperation with the state and with other non-governmental organizations working in the field. The implementing agency is the Ethiopian Evangelical Church Mekane Yesus / North Central Synod Development and Social Services Commission (EECMY-DASSC-NCS) in Dessie.",Significant gender component,Principal disability component,Suomen Lähetysseura ry,Donor country-based NGO,Mixed
2017010398,MD-2015-125-DO-16010,2018,ODA Grants,Czech Republic,Moldova,0.0893508,Social Protection,SUPPORT OF TRANSFORMATION PROCESS OF CARE FOR PEOPLE WITH MENTAL DISORDERS AND PEOPLE WITH LEARNING DIFFICULTIES IN MOLDOVA,SUPPORT OF TRANSFORMATION PROCESS OF CARE FOR PEOPLE WITH MENTAL DISORDERS AND PEOPLE WITH LEARNING DIFFICULTIES IN MOLDOVA,"Project  Support of transformation process of care for people with mental disorders and people with learning difficulties in Moldova is a response to a desperate situation in social care institutions for handicapped people. The intention of the project is to improve the conditions of life of people with disabilities and mental illness with an emphasis on respect for human rights. The aim of the project is to improve a professionalism of stakeholders to perform transformational changes of care for people with mental disorders and learning difficulties in Moldova through creating Action plans for transformation, trainings, internships, consultations and written recommendations to preparation and implementation the Strategy of mental health care reform and social protection system.",Significant gender component,Principal disability component,Center for Mental Health Care Development,Donor country-based NGO,Mixed
2018002076,QZA-18/0159-4,2018,ODA Grants,Norway,China (People's Republic of),0.0810605,Basic life skills for youth and adults,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,"The project aims at fulfilling, protecting and promoting the rights and well-being of persons with intellectual disabilities (PIDs) in Nanjing in China through developing a model day care center, training day care center staff, mobilizing parents, interacting with local governmental officials and conducting awareness raising activities in public. The target groups are primarily PIDs (from the age of 16), PIDs' parents and staff in day care centers.",No gender component,Principal disability component,Digni,Donor country-based NGO,Mixed
2.014E+12,SCR.CTR.372131,2018,ODA Grants,EU Institutions,Moldova,0.0738804,Democratic participation and civil society,Improving access to community-based early years and preschool support services for vulnerable children with special needs in Moldova,IMPROVING ACCESS TO COMMUNITY-BASED EARLY YEARS AND PRESCHOOL SUPPORT SERVICES FOR VULNERABLE CHILDREN WITH SPECIAL NEEDS IN MOLDOVA,The overall objective of this action is to improve access to community-based early years and preschool support services for vulnerable children with special needs in Moldova in accordance with the UN Convention on the Rights of the Child and UN Convention on the Rights of Persons with Disabilities. The action focuses on children with special needs and their families because the support services currently available in Moldova are inconsistent and do not address the full range of their needs.,No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,Mixed
2018000247,213453/Z/18/Z,2018,Private Development Finance,Wellcome Trust,"Africa, regional",0.0628519,Promotion of mental health and well-being ,Re-Examining the 'Global' in Global Mental Health: African Understandings of Mental Disorder and Intellectual Disability,RE-EXAMINING THE 'GLOBAL' IN GLOBAL MENTAL HEALTH: AFRICAN UNDERSTANDINGS OF MENTAL DISORDER AND INTELLECTUAL DISABILITY,"Programme: Small grant in H&SS. Description: Global mental health stands at an important juncture: recent research and policy reveals substantial challenges in closing the mental health treatment gap in low- and middle-income countries. However, worries persist that global mental health represents cultural colonisation by Western psychiatry/pharmacology, exacerbated further by the expansion of psychiatric genomics in African contexts. The project establishes a UK-Africa consortium which seeks to resolve dual ethical imperatives of addressing genuine challenges to mental health care in African settings alongside respect for African cultural thought and practice. The grant will enable: (i) a three-day workshop investigating (a) biomedical/non-biomedical explanatory models of mental disorder and recovery; (b) cultural conceptions of personhood and genetic identity; (ii) an international conference which explores African bioethical contributions to global mental health; (iii) knowledge exchange drop-ins which establish a deliberative forum for bottom-up learning; (iv) published outputs that (a) critically reflect on psychiatric classificatory models and the DSM-V Cultural Formulation interview; (b) the launch of a research and practical agenda for improving dialogue between biomedical and non-biomedical models of mental health. This will establish a collaborative programme of work devoted to future project proposals that advance cross-treatment dialogue and 'joined-up' thinking amongst practitioners and researchers of African mental health care.",No gender component,Significant disability component,Birkbeck University of London,"University, college or other teaching institution, research institute or think-tank",Mixed
2016161138,5054,2018,ODA Grants,Finland,Tanzania,0.057953,Human rights,F.a: TUNDANDOTO TANZANIA PROGRAMME  SUSTAINABLY TRANSFORMED CHILDHOODS,F.A: TUNDANDOTO TANZANIA PROGRAMME  SUSTAINABLY TRANSFORMED CHILDHOODS,"The main beneficiaries of the Programme are Tanzanian children and youth. Children, youth with disabilities, and girls are the special target groups. The Programme has 23 530 direct and 68 840 indirect beneficiaries. The activities are carried out in 6 different geographical areas that act either as a demo project for the other sites or in which a special set of barriers obstructing the fulfilment of childrens rights have been identified. The main problem in the society is the lack of knowledge on childrens rights for both rights holders and duty bearers. For this reason, civil society and authorities do not pay so much attention to the wellbeing and development of children. The Programme will be implemented by a Tanzanian partner, Free Pentecostal Church of Tanzania which is a remarkable influence in the Tanzanian civil society. In addition to its approximately 800 000 members, FPCT has an extensive network of local and government actors within its realm of cooperation and influence. The Programme seeks to strengthen the advocacy roles of different civil society actors and FPCT regarding childrens rights. The Programme theme, right to health is addressed in different levels through a knowledge increase regarding nutrition and preventive health, care takers ability to respond to health challenges of children with disabilities, and sexual and reproductive health and rights. In the latter the Programme especially targets menstruation management, hygiene and psychosocial support for traumatized children. That the beneficiaries organize into civil society groups that promote the right to health is among the main activities. The theme right to education is addressed in the Programme through multiple activities: by empowering caretakers to realize childrens right to education, by providing support for better school performance and self-esteem development through childrens clubs, by sensitizing communities on the importance of education and strengthening participatory methods in education. Regarding the theme right to adequate standard of living, the activities include introducing initiatives that strengthen family livelihood, improved food security, improved living environment, and life and entrepreneurship skills especially among women and PWD. #The quality of the partners advocacy work is strengthened through developing platforms, where the voice of children with and without disabilities can be heard by the wider public.",Principal gender component,Significant disability component,Fida International ry,Donor country-based NGO,Mixed
2018000150,n.a.,2018,Private Development Finance,Oak Foundation,Zimbabwe,0.0531074,Social Protection,NZEVE Deaf Children's Centre,NZEVE DEAF CHILDREN'S CENTRE,"Programme: Zimbabwe. Sub-programme: Special Needs Education.  Description: To increase access to early intervention for deaf children and their families. Nzeve seeks to promote sign language and facilitate support to deaf children and their teachers as well as empower deaf youth to live independent, healthy lives. It also works to reduce discrimination against children with disabilities.. Total grant amount: USD 53.846 thousand.",No gender component,Significant disability component,NZEVE Deaf Children's Centre,Developing country-based NGO,Mixed
2012000343,85202503,2018,ODA Grants,Finland,Lebanon,0.0510018,Early childhood education,Mental health for vulnerable groups: A complex multidisciplinary model combining client centered and community approaches,MENTAL HEALTH FOR VULNERABLE GROUPS: A COMPLEX MULTIDISCIPLINARY MODEL COMBINING CLIENT CENTERED AND COMMUNITY APPROACHES,Continuation project Mental health for groups with complex needs: A multidisciplinary model combining client centred and community approacher. The plan is to participate in four years time in the mental health strategic planning process. In previous period the Family Guidance Centers (FGC) treated 316 children who were referred to FGC. One third of them completed the treatment successfully. Among them there were 75 children with special needs. FGCs arranged special education and rehabiliation service for them. All parents express high satisfaction. During the project period concerning the coordination and development issues it started to emerge needs for changes in the setting. To tackle them and step forward organisation has decided to work on a strategic plan for mental health program. However planning has not really started maybe because of big workload but also therefore that the tacit special knowledge accumalated during 20 years is not easy to shape public and divisible. During 4 years time FiPSR will by the support of Ministry for Foreing Affairs accompany NISCVT in the strategy planning. Mental health program works in a landscape which the management and regional sciences call wicked problem. During the work FiPSR supports the basic work in two family guidance centers and rehabilitation of children with special needs in three centers. Estimated number of children is 370-420 of them 60-80 children with special needs.,Significant gender component,Significant disability component,Psychologists for Social Responsibility,Donor country-based NGO,Mixed
2013130044,23816824,2018,ODA Grants,Finland,Ethiopia,0.0478845,Primary education,Creating a safe and equitable living and learning environment for children with disabilities in Ethiopia,CREATING A SAFE AND EQUITABLE LIVING AND LEARNING ENVIRONMENT FOR CHILDREN WITH DISABILITIES IN ETHIOPIA,This project is a three-year intervention for creating a safe and equitable living and learning environment for children with disabilities in Bishoftu and Dukem towns. Berhan Lehetsanat is responsible for implementation with Interpedia Finland both child rights organizations with a long experience of working with CwDs.In Ethiopia disability is still a source of social and economic exclusion. Since 2008 BL & Interpedia have initiated disability programs in 12 kebeles of Bishoftu directly reaching over 800 CwDs enabling over 450 CwDs to access rehabilitation over 660 CwDs to access inclusive/special education enhancing capacity of government and community structures to engage in disability creating access to skills trainings constructing a skills training center enhancing income of over 400 families of CwDs enhancing accessibility of schools and increasing community awareness. This project will especially address the last remaining two kebeles of Bishoftu town and three kebeles of Dukem and create a fully functional referral linkage for CwDs.The direct beneficiaries are over 200 CwDs and their parents & 60 CwDs in skills training as well as schools government representatives and community structures. The project will strive to enhance the overall wellbeing and integration of CwDs and their families via improved access to disability prevention and rehabilitation services; to enhance access to quality and inclusive education for CwDs; improved access to inclusive vocational and skills trainings & to increase the commitment and actions of duty bearers and community-based structures in coordinating and mainstreaming disability issues.The projects main strategy is Community Based Rehabilitation along with rehabilitation livelihood & skills trainings awareness raising and building capacities of stakeholders. The project applies the rights based approach building capacities of CwDs and families as rights-holders also supporting capacity of duty bearers to ensure structures resources and mecha¬nisms for accountability are in place. The project will also contribute to reduction of inequality gender equality as well as climate sustainability.,No gender component,Principal disability component,Interpedia,Donor country-based NGO,Mixed
2016160214,85202521,2018,ODA Grants,Finland,Lebanon,0.0466683,"Civilian peace-building, conflict prevention and resolution",Vocational Training and Economic Opportunities for Syrian refugees and host Lebanese communities,VOCATIONAL TRAINING AND ECONOMIC OPPORTUNITIES FOR SYRIAN REFUGEES AND HOST LEBANESE COMMUNITIES,It is estimated there are 1.1 million Syrian refugees registered with the UN in Lebanon and the number of unregistered refugees is estimated to be much higher. The majority of refugees in Lebanon are concentrated in the North and in the Bekaa Valley which are characterised by already vulnerable communities and a waning sympathy from host communities.  Growing resentment on the part of Lebanese host communities and increasing frustration on the part of Syrian refugees is resulting in building tension. The aim of this project is to mitigate the negative impact of the Syrian crisis on refugee and host communities in Lebanon through youth empowerment. Youth in particular often fall through the cracks of humanitarian and other development programmes (which often target children under 12).  The project will improve livelihood prospects of young people through the provision of skills training appropriate to the context.  Further the project aims to strengthen a positive interaction between refugees and their hosts. This will take place through community bridge-building activities which will also act as a psycho social support.The livelihood trainings will be planned together with the beneficiaries in order to meet their actual needs. Learning and doing together best dispels tension and prejudice between groups. Also tension within the host community will be greatly reduced when livelihoods are created. The goal is that the host community will see the richness and added value of their new guests. Beneficiaries will be selected from the most vulnerable. The criteria used are their economic status gender disability and excluded status. The implementers are YMCA Finland and YMCA Lebanon. YMCAs headquarters are in Geneva and has close ties with UNHCR and other global actors. Activities are based on learning from previous interventions by the Lebanon YMCA and a needs assessment undertaken with young people in the target areas. Finn Church Aid (FCA) will be a key partner with experience of the Syrian refugee crisis as will Y Care International (YCI) a UK based NGO with previous experience of partnering with YMCA Lebanon who will provide technical support.,Principal gender component,Significant disability component,Suomen Nuorten Miesten Kristillisten Yhd,Donor country-based NGO,Mixed
2016161138,5054,2018,ODA Grants,Finland,Tanzania,0.0386354,Reproductive health care,F.a: TUNDANDOTO TANZANIA PROGRAMME  SUSTAINABLY TRANSFORMED CHILDHOODS,F.A: TUNDANDOTO TANZANIA PROGRAMME  SUSTAINABLY TRANSFORMED CHILDHOODS,"The main beneficiaries of the Programme are Tanzanian children and youth. Children, youth with disabilities, and girls are the special target groups. The Programme has 23 530 direct and 68 840 indirect beneficiaries. The activities are carried out in 6 different geographical areas that act either as a demo project for the other sites or in which a special set of barriers obstructing the fulfilment of childrens rights have been identified. The main problem in the society is the lack of knowledge on childrens rights for both rights holders and duty bearers. For this reason, civil society and authorities do not pay so much attention to the wellbeing and development of children. The Programme will be implemented by a Tanzanian partner, Free Pentecostal Church of Tanzania which is a remarkable influence in the Tanzanian civil society. In addition to its approximately 800 000 members, FPCT has an extensive network of local and government actors within its realm of cooperation and influence. The Programme seeks to strengthen the advocacy roles of different civil society actors and FPCT regarding childrens rights. The Programme theme, right to health is addressed in different levels through a knowledge increase regarding nutrition and preventive health, care takers ability to respond to health challenges of children with disabilities, and sexual and reproductive health and rights. In the latter the Programme especially targets menstruation management, hygiene and psychosocial support for traumatized children. That the beneficiaries organize into civil society groups that promote the right to health is among the main activities. The theme right to education is addressed in the Programme through multiple activities: by empowering caretakers to realize childrens right to education, by providing support for better school performance and self-esteem development through childrens clubs, by sensitizing communities on the importance of education and strengthening participatory methods in education. Regarding the theme right to adequate standard of living, the activities include introducing initiatives that strengthen family livelihood, improved food security, improved living environment, and life and entrepreneurship skills especially among women and PWD. #The quality of the partners advocacy work is strengthened through developing platforms, where the voice of children with and without disabilities can be heard by the wider public.",Principal gender component,Significant disability component,Fida International ry,Donor country-based NGO,Mixed
2016160233,85906238,2018,ODA Grants,Finland,West Bank and Gaza Strip,0.0344851,Women's equality organisations and institutions,EJ YMCA RP - Phase II Empowering Young Palestinian Women with Disabilities to access their Social and Economic Rights - 2 years,EJ YMCA RP - PHASE II EMPOWERING YOUNG PALESTINIAN WOMEN WITH DISABILITIES TO ACCESS THEIR SOCIAL AND ECONOMIC RIGHTS - 2 YEARS,The proposed project will address and tackle the socio-economic marginalization of the most vulnerable Palestinian Young Women with Disabilities (YWWD) living in the West Bank districts with a special focus on remote and marginalized areas including area C. The project will be implemented through a holistic psycho-social and economic development approach to provide the targeted group with empowerment and inclusion services to sustainably improve their livelihoods promote their access to social services and social protection in an integrated framework Leads to developing hopeful approach towards life. The project is intended to build the capacities of young Palestinian women with disabilities to become self advocates to their rights to influence attitudes practices and decision making processes in local and national government. Further to build their vocational capacities to be able to participate effectively in the job market. In Addition to these interventions that are dedicated to empower YWWD at the psycho-social and economic levels it is intended to raise societal awareness on the rights of YWWD especially their rights to decent work and to increase societal sensitization against all kinds of violence toward YWWD.As a result this proposed project is seen as a continuation to the previous one and it will continue to address the human educational economic and social rights of young women with disabilities with disabilities. The project will follow a twin track approach to development and disability. On one hand it will work on empowering YWWD through building their vocational educational and technical capacities. This is done through increasing YWWD access to livelihood and social activities education and health care. On the other hand it will work on mainstreaming disability in the Palestinian society with a special focus on the rights of YWWD to decent work and on increasing societal sensitivity on gender based violence against women with disabilities. To achieve this the project will work on building the capacity of Women with Disabilities to protect the rights of women living with disabilities and to call for effective implementation of the National Disability Strategy (NDS) and ensure that it will not lose its momentum with a specific focus on Strategic Approach 3 4 and 6 of the National Strategic Plan of the Disability Sector in the OPT 2012.,Principal gender component,Principal disability component,Embassy of Finland,Central Government,Mixed
2018002002,QZA-18/0159-3,2018,ODA Grants,Norway,China (People's Republic of),0.0337753,Teacher training,AR-Habilitation Center for Intellectually Disabled,AR-HABILITATION CENTER FOR INTELLECTUALLY DISABLED,"The project aims at fulfilling, protecting and promoting the rights and well-being of persons with intellectual disabilities (PIDs) in Nanjing in China through developing a model day care center, training day care center staff, mobilizing parents, interacting with local governmental officials and conducting awareness raising activities in public. The target groups are primarily PIDs (from the age of 16), PIDs' parents and staff in day care centers.",No gender component,Principal disability component,Digni,Donor country-based NGO,Mixed
2018002901-1,009-116642-A,2018,ODA Grants,Spain,West Bank and Gaza Strip,0.0335072,Promotion of mental health and well-being ,Improvement of the psychosocial well being of the child population and the communities affected by the crisis in the Gaza Strip,IMPROVEMENT OF THE PSYCHOSOCIAL WELL BEING OF THE CHILD POPULATION AND THE COMMUNITIES AFFECTED BY THE CRISIS IN THE GAZA STRIP,"Título completo del proyecto: Mejora del bienestar psicosocial de la población infantil y las comunidades afectadas por la crisis en la Franja de Gaza :: Promover, proteger y defender los derechos de la población refugiada de Palestina ante crisis agudas, violaciones de los Derechos Humanos, del Derecho Humanitario Internacional y los obstáculos para acceder a servicios. la salud mental y aumentar las capacidades de resiliencia de las personas refugiadas de Palestina menores de edad y sus familias en la Franja de Gaza.",Significant gender component,Significant disability component,UNRWA - Spanish Committee,Donor country-based NGO,Mixed
2018000267,211379/Z/18/Z,2018,Private Development Finance,Wellcome Trust,Nigeria,0.0315883,Reproductive health care,Promoting awareness of perinatal depression in Nigeria;,PROMOTING AWARENESS OF PERINATAL DEPRESSION IN NIGERIA;,"Programme: Public Engagement Fund Small. Description: Perinatal depression is a major cause of disability in women, and often has adverse consequences for cognitive, emotional and behavioural development in the child. It is estimated that 90% of people with a mental illness in Nigeria go untreated. Dr Kike Olajide recently completed a Wellcome funded fellowship to develop a peer-delivered psychosocial intervention for perinatal depression in Nigeria. During a 'Theory of Change' workshop, increased community awareness about perinatal depression was identified as a necessary prerequisite for successful intervention. We therefore now intend to promote conversations and increase awareness about what scientific research has shown about the nature of perinatal depression. We will first stage a play. This will be led by Dr Olajide in Nigeria together with local workers. We will then create a documentary of the performance and use this both online and in further meetings in different areas in Nigeria to encourage families, practitioners and policymakers to reflect on what research has shown about causes, effects and treatment. The play will combine techniques from a traditional Yoruba Alaarinjo and the Theatre of the Oppressed. The aim is to improve mental health literacy and aid the future recognition, management and prevention of perinatal depression in Nigeria.",Significant gender component,Significant disability component,Imperial College London,"University, college or other teaching institution, research institute or think-tank",Mixed
2013130044,23816824,2018,ODA Grants,Finland,Ethiopia,0.0287307,Health education,Creating a safe and equitable living and learning environment for children with disabilities in Ethiopia,CREATING A SAFE AND EQUITABLE LIVING AND LEARNING ENVIRONMENT FOR CHILDREN WITH DISABILITIES IN ETHIOPIA,This project is a three-year intervention for creating a safe and equitable living and learning environment for children with disabilities in Bishoftu and Dukem towns. Berhan Lehetsanat is responsible for implementation with Interpedia Finland both child rights organizations with a long experience of working with CwDs.In Ethiopia disability is still a source of social and economic exclusion. Since 2008 BL & Interpedia have initiated disability programs in 12 kebeles of Bishoftu directly reaching over 800 CwDs enabling over 450 CwDs to access rehabilitation over 660 CwDs to access inclusive/special education enhancing capacity of government and community structures to engage in disability creating access to skills trainings constructing a skills training center enhancing income of over 400 families of CwDs enhancing accessibility of schools and increasing community awareness. This project will especially address the last remaining two kebeles of Bishoftu town and three kebeles of Dukem and create a fully functional referral linkage for CwDs.The direct beneficiaries are over 200 CwDs and their parents & 60 CwDs in skills training as well as schools government representatives and community structures. The project will strive to enhance the overall wellbeing and integration of CwDs and their families via improved access to disability prevention and rehabilitation services; to enhance access to quality and inclusive education for CwDs; improved access to inclusive vocational and skills trainings & to increase the commitment and actions of duty bearers and community-based structures in coordinating and mainstreaming disability issues.The projects main strategy is Community Based Rehabilitation along with rehabilitation livelihood & skills trainings awareness raising and building capacities of stakeholders. The project applies the rights based approach building capacities of CwDs and families as rights-holders also supporting capacity of duty bearers to ensure structures resources and mecha¬nisms for accountability are in place. The project will also contribute to reduction of inequality gender equality as well as climate sustainability.,No gender component,Principal disability component,Interpedia,Donor country-based NGO,Mixed
2.015E+12,SCR.CTR.378586,2018,ODA Grants,EU Institutions,"Bilateral, unspecified",0.0262748,Promotion of development awareness (non-sector allocable),Financial Audit of contract CSO-LA/2013/281-045 with Learning Disability Wales,FINANCIAL AUDIT OF CONTRACT CSO-LA/2013/281-045 WITH LEARNING DISABILITY WALES,,No gender component,Principal disability component,Other public entities in donor country,Other public entities in donor country,Mixed
2017170570,TAN2003,2018,ODA Grants,Finland,Tanzania,0.0220897,Vocational training,F.a: Towards Inclusive Vocational Training in Zanzibar,F.A: TOWARDS INCLUSIVE VOCATIONAL TRAINING IN ZANZIBAR,"WHAT: The project aims to create an enabling environment for and prepare young people with intellectual disabilities to attend inclusive vocational training in Zanzibar. In addition, awareness is raised on the important issue of violence and sexual abuse of persons with intellectual disabilities. WHY: Young people with intellectual disabilities will have a better quality of life and their inclusion in the society will increase. HOW: Youth with intellectual disabilities are provided with pre-education, vocational training centers are provided with inclusion knowledge, and the society is sensitized on the issues of persons with intellectual disabilities. In addition, the project will aim to  secure  their access to inclusive vocational training  also through local legislation. PARTNER ORGANISATION: Zanzibar Association for Persons with Developmental Disabilities (ZAPDD)",Significant gender component,Principal disability component,Disability Partnership Finland ry,Donor country-based NGO,Mixed
