CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,ParentChannelCode,relevance,check,inclusion,employment,intellectual,education,family,advocacy,disability.subpurpose,disability.concsub
2018000110,"",2018,C01,ODA Grants,Croatia,Bosnia and Herzegovina,0.00290613,0.00290613,I.1.b. Basic Education,Early childhood education,"Construction of a children's park in the local community of Kocerin. Build a Children's Park. To connect children with special needs together with mentally and physically healthy children who would hang out together, play, help in the children's park together with their parents.",CONSTRUCTION OF A CHILDREN'S PARK IN THE LOCAL COMMUNITY OF KOCERIN. BUILD A CHILDREN'S PARK. TO CONNECT CHILDREN WITH SPECIAL NEEDS TOGETHER WITH M,"Construction of a children's park in the local community of Kocerin. Build a Children's Park. To connect children with special needs together with mentally and physically healthy children who would hang out together, play, help in the children's park together with their parents.",Not screened,Not screened,"CREATUS Society for Culture, Education and Social Research",Developing country-based NGO,23000,23000,Principal,No,Not inclusion,Not employment,intellectual,Not education,family,Not advocacy,Family,family
2018000182,"",2018,C01,ODA Grants,Croatia,Bosnia and Herzegovina,0.00174368,0.00174368,I.1.b. Basic Education,Early childhood education,Support in the implementation of the projects of the Angelus Association of Parents of Children with Special Needs. Enable the existence of the Day Care Center of the association in order to continue the educational-therapeutic program for children with special needs.,SUPPORT IN THE IMPLEMENTATION OF THE PROJECTS OF THE ANGELUS ASSOCIATION OF PARENTS OF CHILDREN WITH SPECIAL NEEDS. ENABLE THE EXISTENCE OF THE DAY CA,Support in the implementation of the projects of the Angelus Association of Parents of Children with Special Needs. Enable the existence of the Day Care Center of the association in order to continue the educational-therapeutic program for children with special needs.,Not screened,Not screened,1 Private Person,Other,90000,90000,Principal,No,Not inclusion,Not employment,intellectual,education,family,Not advocacy,Mixed,"education, family"
2015000139217,SCR.CTR.382722,2018,C01,ODA Grants,EU Institutions,Algeria,0,0.0764135,I.1.b. Basic Education,Early childhood education,La vulgarisation de l'acte de lire dans les milieux sociaux,LA VULGARISATION DE L'ACTE DE LIRE DANS LES MILIEUX SOCIAUX,Présenter un apport en vue d'améliorer les résultats scolaires des élèves.  Œuvrer pour réduire le taux de la déperdition scolaire.   Faire de la lecture un moyen efficace permettant au citoyen d'être conscient de ses droits et devoirs.  Faire de l'acte de lire un moyen de divertissement  L'acte de lire serait un moyen d'insertion sociale pour les personnes à besoins spécifiques.  Permettre à une génération de petits lecteurs à se caractériser au futur par la production littéraire.,No gender component,No disability component,Donor country-based NGO,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,Not employment,intellectual,Not education,Not family,advocacy,Self-advocacy,advocacy
2016000307004,SCR.CTR.382392,2018,C01,ODA Grants,EU Institutions,West Bank and Gaza Strip,0,0.713496,I.1.b. Basic Education,Early childhood education,Comprehensive school upgrading of Fifteen schools in Jerusalem,COMPREHENSIVE SCHOOL UPGRADING OF FIFTEEN SCHOOLS IN JERUSALEM,This project serves to support higher quality of education with advanced facilities and a friendlier environment. The program enhances the availability of better education services based on inclusive education with scientific research and technological utilization at its heart which raises schools' abilities to serve the different needs of student especially who have learning difficulties/disabilities. The action enhances schools to raise confident students aware of their role as belong,Significant gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,23000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2012000343,85202503,2018,C01,ODA Grants,Finland,Lebanon,0.111115,0.0510018,I.1.b. Basic Education,Early childhood education,Mental health for vulnerable groups: A complex multidisciplinary model combining client centered and community approaches,MENTAL HEALTH FOR VULNERABLE GROUPS: A COMPLEX MULTIDISCIPLINARY MODEL COMBINING CLIENT CENTERED AND COMMUNITY APPROACHES,Continuation project Mental health for groups with complex needs: A multidisciplinary model combining client centred and community approacher. The plan is to participate in four years time in the mental health strategic planning process. In previous period the Family Guidance Centers (FGC) treated 316 children who were referred to FGC. One third of them completed the treatment successfully. Among them there were 75 children with special needs. FGCs arranged special education and rehabiliation service for them. All parents express high satisfaction. During the project period concerning the coordination and development issues it started to emerge needs for changes in the setting. To tackle them and step forward organisation has decided to work on a strategic plan for mental health program. However planning has not really started maybe because of big workload but also therefore that the tacit special knowledge accumalated during 20 years is not easy to shape public and divisible. During 4 years time FiPSR will by the support of Ministry for Foreing Affairs accompany NISCVT in the strategy planning. Mental health program works in a landscape which the management and regional sciences call wicked problem. During the work FiPSR supports the basic work in two family guidance centers and rehabilitation of children with special needs in three centers. Estimated number of children is 370-420 of them 60-80 children with special needs.,Significant gender component,Significant disability component,Psychologists for Social Responsibility,Donor country-based NGO,22000,22000,Principal,No,inclusion,Not employment,intellectual,education,family,Not advocacy,Mixed,"education, family"
2017170425,17AA078,2018,C01,ODA Grants,Finland,Bangladesh,0,0.00110282,I.1.b. Basic Education,Early childhood education,F.a: Chhadak (Light) - Developing special needs education for the underpriviledged children with autism and other disabilities,F.A: CHHADAK (LIGHT) - DEVELOPING SPECIAL NEEDS EDUCATION FOR THE UNDERPRIVILEDGED CHILDREN WITH AUTISM AND OTHER DISABILITIES,"Children and youth with autism or other disabilities of indigenous background living in Rangamati Hill District in Bangladesh will be provided education. Project will develop peer support and training for parents, training for teachers, health and rehabilitation services for children and conduct advocacy activities.",Significant gender component,Principal disability component,ABILIS foundation,Donor country-based NGO,22000,22000,Principal,No,inclusion,Not employment,intellectual,education,family,Not advocacy,Mixed,"education, family"
2018006423,300236-101,2018,B03,ODA Grants,United Kingdom,Ethiopia,0.29693,1.8953,I.1.b. Basic Education,Early childhood education,Financial Assistance for the GEQIP-E Result Based Programme of Improving Learning Outcomes and Equity,FINANCIAL ASSISTANCE FOR THE GEQIP-E RESULT BASED PROGRAMME OF IMPROVING LEARNING OUTCOMES AND EQUITY,"This program aims to effectively contribute to the creation of human capital - vital to drive Ethiopia's industrialization process and realize inclusive growth. It will work to transform education system performance, producing better school leadership, more educated school leavers, especially disadvantaged girls and children from poor communities.  DFID's support is expected to contribute for the result in improved learning outcomes for around 1,035 Million students; half of whom are girls; increased number going to secondary schools.The focuse is on reducing inequalities in education participation and achievement through pre-primary expansion, better education for girls, refugees and up to 24,000 students with special needs.",Principal gender component,Principal disability component,International Bank for Reconstruction and Development,International Bank for Reconstruction and Development,44001,44000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018988020,B3.2.09.06,2018,D02,ODA Grants,Austria,Moldova,0.021062,0.021062,I.1.c. Secondary Education,Secondary education,Cooperation for education: Special educational needs in VET,COOPERATION FOR EDUCATION: SPECIAL EDUCATIONAL NEEDS IN VET,"Quality development, Introduction of New Teaching and Learning Strategies, Development of Practice-Oriented Vocational Education and Training, Social Inclusion in Education, Establishment and support of education networks - B1.3.12.36",Significant gender component,Not screened,KulturKontakt Austria,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018988014,B1.2.12,2018,D02,ODA Grants,Austria,"Europe, regional",0.0357533,0.0357533,I.1.c. Secondary Education,Secondary education,Cooperation for education: Special needs education in VET,COOPERATION FOR EDUCATION: SPECIAL NEEDS EDUCATION IN VET,"Quality development, Introduction of New Teaching and Learning Strategies, Development of Practice-Oriented Vocational Education and Training, Social Inclusion in Education, Establishment and support of education networks - B1.3.12.36",Significant gender component,Not screened,KulturKontakt Austria,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018988024,B3.2.02.11,2018,D02,ODA Grants,Austria,Montenegro,0.0176817,0.0176817,I.1.c. Secondary Education,Secondary education,Cooperation for education: Special needs education in VET,COOPERATION FOR EDUCATION: SPECIAL NEEDS EDUCATION IN VET,"Quality development, Introduction of New Teaching and Learning Strategies, Development of Practice-Oriented Vocational Education and Training, Social Inclusion in Education, Establishment and support of education networks - B1.3.12.36",Significant gender component,Not screened,KulturKontakt Austria,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2016160083,28235834,2018,C01,ODA Grants,Finland,Tanzania,0,0.0566687,I.1.c. Secondary Education,Secondary education,Empowered Girls Speak Out - Securing education of girls through sports in secondary schools and vocational training,EMPOWERED GIRLS SPEAK OUT - SECURING EDUCATION OF GIRLS THROUGH SPORTS IN SECONDARY SCHOOLS AND VOCATIONAL TRAINING,Empowered Girls Speak Out is a project aiming to empower adolescent girls aged 13-19 to understand their rights encourage equal education and promote freedom from gender-based violence. While girls are the center of social change local communities will also be targeted to facilitate girl empowerment. The project will initially work with eight communities in two districts Mtwara Municipal and Mtwara Rural. These communities were chosen with local education and health authorities who highlighted the low secondary school attendance poor academic performance and high teenage pregnancy rates of girls in these communities. Through a participatory process with adolescent girls we then established the reasons and viable solutions to these problems.The central issue to be addressed is poor academic performance which according to girls themselves is due to critical reasons such as; gender-based violence; harassment in and on the way to school; negative parental attitudes towards girls education due to traditional gender norms; lack of positive female role models; and girls low expectations of employability after education. Furthermore insufficient knowledge of sexual and reproductive health and rights (SRHR) combined with traditional cultural practices of encouraging adolescent sexual relations and a lack of contraceptives is leading to many school-aged pregnancies.The project will work with young girls schools and key stakeholders in the communities. Girls Action Clubs (GACs) will provide a safe space for both in and out of school girls to share experiences and learn essential life skills and SRHR. 50 peer leaders and 24 adult tutors will be trained for GACs. GACs will utilise sports drama and dance to attract members but the main focus will be on providing training & education for their participants.Special education will be emphasised to the Unyago which is a training for young girls (6-13 year of age) about household activities and how to treat future husbands properly. Unyago training is one main reason why young girls get pregnant at early age and drop out from school. Contents of Unyago will also be revitalised with Unyago trainers.,Principal gender component,Not screened,Liikunnan kehitysyhteistyö Liike ry,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,employment,intellectual,education,family,advocacy,Mixed,"employment, education, family, advocacy"
2018006423,300236-101,2018,B03,ODA Grants,United Kingdom,Ethiopia,0.89079,5.68589,I.1.c. Secondary Education,Secondary education,Financial Assistance for the GEQIP-E Result Based Programme of Improving Learning Outcomes and Equity,FINANCIAL ASSISTANCE FOR THE GEQIP-E RESULT BASED PROGRAMME OF IMPROVING LEARNING OUTCOMES AND EQUITY,"This program aims to effectively contribute to the creation of human capital - vital to drive Ethiopia's industrialization process and realize inclusive growth. It will work to transform education system performance, producing better school leadership, more educated school leavers, especially disadvantaged girls and children from poor communities.  DFID's support is expected to contribute for the result in improved learning outcomes for around 1,035 Million students; half of whom are girls; increased number going to secondary schools.The focuse is on reducing inequalities in education participation and achievement through pre-primary expansion, better education for girls, refugees and up to 24,000 students with special needs.",Principal gender component,Principal disability component,International Bank for Reconstruction and Development,International Bank for Reconstruction and Development,44001,44000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2017081354,2017140000034,2018,C01,ODA Grants,Korea,Philippines,0,0.0794654,I.1.c. Secondary Education,Vocational training,Vocational Rehabilitation for Persons with Disabilities in the Philippines,VOCATIONAL REHABILITATION FOR PERSONS WITH DISABILITIES IN THE PHILIPPINES,"Implementing vocational rehabilitation programs for persons with developmental disability or persons with hearing impairment, and disability awareness education toward the residents.",Principal gender component,No disability component,Donor country-based NGO,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018004680,3263,2018,B01,ODA Grants,Italy,Honduras,0.0100885,0.0100885,I.1.c. Secondary Education,Vocational training,Institute of Educational psychology  Juana Leclerc,INSTITUTE OF EDUCATIONAL PSYCHOLOGY  JUANA LECLERC,"Instituto Psicopedagogico Juana Leclerc is a nonprofit institution lof Tegucigalpa. The organization runs a model project for inclusive education, labor inclusion and a resource center for training in the region. The programme implemented by CBM IT. focuses on the education of children and youngers with intellectual disabilities. The project will promote opportunities for inclusion in the framework of Human Rights.",Significant gender component,Principal disability component,5X1000,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,advocacy,Mixed,"employment, education, advocacy"
2018006323,200250-117,2018,C01,ODA Grants,United Kingdom,Uganda,0,0,I.1.c. Secondary Education,Vocational training,Youth Development Programme - Voluntary Services Overseas,YOUTH DEVELOPMENT PROGRAMME - VOLUNTARY SERVICES OVERSEAS,"To create economic, social and political opportunities that improve the lives of people affected by conflictTo reduce poverty in Northern Uganda by improving service delivery (including by constructing 2,000 homes for health workers and school teachers), supporting the most vulnerable (including 3,500 internally displaced persons with special needs and 75,000 food insecure households in Karamoja), helping 10,000 young people to find jobs and funding conflict resolution and peacebuilding activities",Significant gender component,No disability component,Donor country-based NGO,Donor country-based NGO,22000,22000,Significant,potential false positive,Not inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018181651,111,2018,C01,ODA Grants,Finland,Uganda,0.641345,0.0975101,I.1.c. Secondary Education,Vocational training,F.a: Livelihood and Small Business Training in refugee settlement and urban Kampala,F.A: LIVELIHOOD AND SMALL BUSINESS TRAINING IN REFUGEE SETTLEMENT AND URBAN KAMPALA,"Most refugees in Uganda live at subsistence level, and over 70% depend on the food assistance. Lack of land but also skills and knowledge, low educational level to improve livelihoods and income generation are challenges the refugees, and Ugandans, face daily. In line with the CRRF of the Govt of Uganda the project contributes towards increased self-reliance of refugees by strengthening resilience capacities of beneficiaries to cope better with current obstacles and to become less vulnerable in future, by improving their livelihood skills and access to resources. The project arranges short courses on Business Skill for refugees and for Ugandans living near settlements and in Urban Kampala. The other support provided is facilitation of formation of saving and loan groups  the project trains the group on principles of VSLA activity and donates a saving kit to each group formed. Both Business Skill and saving trainings are followed by mentoring and advisory services from the professional project staff. The beneficiaries are expected to enhance their ability to meet essential needs and to enjoy social and economic rights as part of their progress towards self-reliance.The general target group is refugees above 15 years old, who reside in Uganda in settlements or urban Kampala area, and their educational and skill level is in need of improvement. Special attention is put on the equal participation of women and youth. The target for women participants is 50% whereas target for people with special needs is 3 - 5% of beneficiaries. As recommended by OPM and UNHCR, the project will also target Ugandans living nearby settlements so that they are about 20%. As direct beneficiaries the 160 individual Business Skill Facilitators gain important skills and capacities in teaching and facilitation, and knowledge in business and livelihood related matters. They are trained to teach the 8-module course for the business learning group, and have a key role in implementing the project. Largest nationality group targeted will be South Sudanese in settlements in North Uganda, followed by refugees from DRC, Burundi, Rwanda and Somalia in settlements in South West Uganda. Majority of refugees arrive from villages with skills and experience related to agriculture and livestock rearing. However, at settlements their opportunities to practise agriculture are limited due to restricted access to land, farm inputs and markets. The project is implemented by FRC field staff.",Significant gender component,Not screened,Finnish Refugee Council,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,advocacy,Mixed,"employment, education, advocacy"
2018005219,201776012,2018,B01,ODA Grants,Germany,Tanzania,0,0.00625581,I.1.c. Secondary Education,Vocational training,Strengthening of the Special Education Training Unit at URRC.,STRENGTHENING OF THE SPECIAL EDUCATION TRAINING UNIT AT URRC.,Strengthening of the Special Education Training Unit at URRC.,Significant gender component,Not screened,Donor country-based NGO,Donor country-based NGO,22000,22000,Principal,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2016160083,28235834,2018,C01,ODA Grants,Finland,Tanzania,0,0.0188896,I.1.c. Secondary Education,Vocational training,Empowered Girls Speak Out - Securing education of girls through sports in secondary schools and vocational training,EMPOWERED GIRLS SPEAK OUT - SECURING EDUCATION OF GIRLS THROUGH SPORTS IN SECONDARY SCHOOLS AND VOCATIONAL TRAINING,Empowered Girls Speak Out is a project aiming to empower adolescent girls aged 13-19 to understand their rights encourage equal education and promote freedom from gender-based violence. While girls are the center of social change local communities will also be targeted to facilitate girl empowerment. The project will initially work with eight communities in two districts Mtwara Municipal and Mtwara Rural. These communities were chosen with local education and health authorities who highlighted the low secondary school attendance poor academic performance and high teenage pregnancy rates of girls in these communities. Through a participatory process with adolescent girls we then established the reasons and viable solutions to these problems.The central issue to be addressed is poor academic performance which according to girls themselves is due to critical reasons such as; gender-based violence; harassment in and on the way to school; negative parental attitudes towards girls education due to traditional gender norms; lack of positive female role models; and girls low expectations of employability after education. Furthermore insufficient knowledge of sexual and reproductive health and rights (SRHR) combined with traditional cultural practices of encouraging adolescent sexual relations and a lack of contraceptives is leading to many school-aged pregnancies.The project will work with young girls schools and key stakeholders in the communities. Girls Action Clubs (GACs) will provide a safe space for both in and out of school girls to share experiences and learn essential life skills and SRHR. 50 peer leaders and 24 adult tutors will be trained for GACs. GACs will utilise sports drama and dance to attract members but the main focus will be on providing training & education for their participants.Special education will be emphasised to the Unyago which is a training for young girls (6-13 year of age) about household activities and how to treat future husbands properly. Unyago training is one main reason why young girls get pregnant at early age and drop out from school. Contents of Unyago will also be revitalised with Unyago trainers.,Principal gender component,Not screened,Liikunnan kehitysyhteistyö Liike ry,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,employment,intellectual,education,family,advocacy,Mixed,"employment, education, family, advocacy"
2018180216,28235892,2018,C01,ODA Grants,Finland,Tanzania,0.0546686,0,I.1.c. Secondary Education,Vocational training,Promoting vocational training for youth with intellectual disabilitiy in Tanzania,PROMOTING VOCATIONAL TRAINING FOR YOUTH WITH INTELLECTUAL DISABILITIY IN TANZANIA,1. Young persons with intellectual disability (ID) have neither rights nor possibilities to get access to pre-vocational education/vocational education and thus lack possibilities to work and earn a living. 2. The project outcomes are: Pre-vocational/vocational education possibilities for youngsters with ID exist in all vocational training centers in the project area. The rights to pre-vocationa/vocational education for the target group are acknowledged. The main project activities include - in-service training for vocational teachers focused on teaching students with ID - mainstreaming courses on special needs education into regular vocational teacher education curriculum-creating and organizing special groups and inclusive teaching possibilities for pre-vocational/vocational education in the vocational training centers in the project area- organizing activities to increase awareness on the rights of persons with ID among responsible education authorities community leaders schools work places and families. 3. The project improves gender equality by focusing especially on girls and women.4. Partners in Finland are FDUV and Kehitysvammaliitto which have knowledge about the target group and experience of work with the target group in East-Africa Optima (special vocational training) and ÅA (special vocational teacher education). Optima and ÅA have knowledge about education and in-service training related to the target group. Local cooperation partners are TAMH (Tanzania Association for Mentally Handicapped) MWAYDEO:s (Mafiga Women and Youth Development Oreganization) (VETA (Vocational Education Teaching Authority) and IAE (Institute of Adult Education). TAMH has local knowledge about the target group MWAYDEO has knowledge of marginalized groups especially women and girls and VETA and IAE have the national responsibility in the field. The project strengthens MWAYDEO:s and TAMH:s work for human rights and VETA:s and IAE:s knowledge and preparedness related to education and training of the target group.5. Youngsters especially girls with intellectual disability.,Significant gender component,Principal disability component,Vaasan Kehitysmaaseura ry,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,family,advocacy,Mixed,"employment, education, family, advocacy"
2017170570,TAN2003,2018,C01,ODA Grants,Finland,Tanzania,0.0426771,0.0220897,I.1.c. Secondary Education,Vocational training,F.a: Towards Inclusive Vocational Training in Zanzibar,F.A: TOWARDS INCLUSIVE VOCATIONAL TRAINING IN ZANZIBAR,"WHAT: The project aims to create an enabling environment for and prepare young people with intellectual disabilities to attend inclusive vocational training in Zanzibar. In addition, awareness is raised on the important issue of violence and sexual abuse of persons with intellectual disabilities. WHY: Young people with intellectual disabilities will have a better quality of life and their inclusion in the society will increase. HOW: Youth with intellectual disabilities are provided with pre-education, vocational training centers are provided with inclusion knowledge, and the society is sensitized on the issues of persons with intellectual disabilities. In addition, the project will aim to  secure  their access to inclusive vocational training  also through local legislation. PARTNER ORGANISATION: Zanzibar Association for Persons with Developmental Disabilities (ZAPDD)",Significant gender component,Principal disability component,Disability Partnership Finland ry,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2018001147-1,009-114762-A,2018,C01,ODA Grants,Spain,Nicaragua,0.00781835,0.00601901,I.1.d. Post-Secondary Education,Higher education,PROJECT U inclusive v01 Use of the Tic for the promotion of the equalization of opportunities in the academic activity of the UNAN Managua,PROJECT U INCLUSIVE V01 USE OF THE TIC FOR THE PROMOTION OF THE EQUALIZATION OF OPPORTUNITIES IN THE ACADEMIC ACTIVITY OF THE UNAN MANAGUA,"Este proyecto da continuidad a los resultados obtenidos mediante el proyecto eN-Señas: Uso de herramientas TIC en el fortalecimiento de la educación inclusiva. mediante el fomento de la formación continua on-line en energías renovables y la educación inclusiva, adjudicado en la IX Convocatoria de ayudas para proyectos de Cooperación al Desarrollo de la Universidad Carlos III de Madrid, y ejecutado en 2017. Particularmente el proyecto se centra en fortalecer a la UNAN-Managua como entidad educativa inclusiva desarrollando las acciones necesarias para trabajar de forma decidida e integral por una inclusión más efectiva con las personas con discapacidad, y dando continuidad a la generación de contenido informativo accesible, material docente inclusivo, y material relativo al diseño y desarrollo de dicha materia inclusivo. Para ello se llevarán a cabo el desarrollo de talleres y actividades de concienciación de la necesidad de una educación inclusiva; actividades de evaluación de las condiciones que presenta la universidad para la equiparación de oportunidades; sistemas de comunicación de doble sentido (e.g. una web inclusiva) donde se publican los contenidos divulgativos y de conciencias, material docente inclusivo, pero que también sirva para obtener necesidades, intereses y experiencia por parte de estudiantes con necesidades especiales.",No gender component,No disability component,Carlos III Madrid University,"University, college or other teaching institution, research institute or think-tank",51000,51000,Significant,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2013003226,UGA-13/0020,2018,D02,ODA Grants,Norway,Uganda,,0.326994,I.1.d. Post-Secondary Education,Higher education,ENABLE: Higher Education and Multimedia in Special Needs Education,ENABLE: HIGHER EDUCATION AND MULTIMEDIA IN SPECIAL NEEDS EDUCATION,ENABLE: Higher Education and Multimedia in Special Needs Education and Rehabilitation aims to build the capacity for special needs education at three universties in East Africa.,Significant gender component,No disability component,Kyambogo University,"University, college or other teaching institution, research institute or think-tank",51000,51000,Principal,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2017005634,7F-09890.01.03,2018,C01,ODA Grants,Switzerland,Burundi,,0.00184841,"I.2.a. Health, General",Health policy and administrative management,Programme Santé Burundi Phase Unique,PROGRAMME SANTÉ BURUNDI PHASE UNIQUE,"Cette phase unique se concentre sur trois thèmes spécifiques (sécurité transfusionnelle, hépatites virales et système de référence) identifiés comme des niches prioritaires par nos partenaires. Ce projet est également une phase de transition entre le Programme Santé Grands Lacs, fini en mars 2017, et le nouveau Programme Santé Burundi 2018-2020. En répondant à des besoins spécifiques, la Suisse assure ainsi sa position dans le secteur de la santé au Burundi durant cette transition.",Significant gender component,No disability component,"",Private sector in recipient country,62000,62000,Significant,potential false positive,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,Other,""
2017005632,7F-09890.01.01,2018,C01,ODA Grants,Switzerland,Burundi,,0.0130697,"I.2.a. Health, General",Health policy and administrative management,Programme Santé Burundi Phase Unique,PROGRAMME SANTÉ BURUNDI PHASE UNIQUE,"Cette phase unique se concentre sur trois thèmes spécifiques (sécurité transfusionnelle, hépatites virales et système de référence) identifiés comme des niches prioritaires par nos partenaires. Ce projet est également une phase de transition entre le Programme Santé Grands Lacs, fini en mars 2017, et le nouveau Programme Santé Burundi 2018-2020. En répondant à des besoins spécifiques, la Suisse assure ainsi sa position dans le secteur de la santé au Burundi durant cette transition.",Significant gender component,No disability component,"",Private sector in recipient country,62000,62000,Significant,potential false positive,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,Other,""
2013000171072,SCR.CTR.328792,2018,C01,ODA Grants,EU Institutions,Mexico,0,0.0449282,"I.2.a. Health, General",Health policy and administrative management,"Programa de inclusión educativa para niños con discapacidad visual, auditiva y de lenguaje del Estado de Chihuahua","PROGRAMA DE INCLUSIÓN EDUCATIVA PARA NIÑOS CON DISCAPACIDAD VISUAL, AUDITIVA Y DE LENGUAJE DEL ESTADO DE CHIHUAHUA","Objetivo general.  Incidir en la Integración exitosa y equidad social de los niños y jóvenes con discapacidad visual, auditiva y de lenguaje en el sector educativo del estado de chihuahua.   Objetivo específico 1: Coadyuvar en la implementación exitosa del Programa de Fortalecimiento de la Educación Especial y de la Integración Educativa existente del Gobierno Federal.  2: Promover y fortalecer acciones de inclusión entre la ciudadanía para lograr un apoyo complementario a la educación regular",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,23000,Principal,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
20180C2616,1161,2018,B01,ODA Grants,Belgium,Haiti,0.291769,0.291769,"I.2.a. Health, General",Health policy and administrative management,Améliorer l'accès de la population à des services de réadaptation de qualité qui répondent à leurs besoins.,AMÉLIORER L'ACCÈS DE LA POPULATION À DES SERVICES DE RÉADAPTATION DE QUALITÉ QUI RÉPONDENT À LEURS BESOINS.,"General description:  El programa de HI en Cuba trabaja hacía para mejorar la calidad de vida de las personas con discapacidad, sus familias y de las personas vulnerables o en riesgo de desarrollar una discapacidad. En la continuidad del precedente programa 2016-2021, y en línea con los Marcos Estratégicos Comunes (MEC) Cuba y Trabajo Decente , se trabajaran dos temas: la Rehabilitación Basada en la Comunidad (RBC) e la Inclusión Socioeconómica (ISE) para mejorar el acceso a los servicios para todos y todas, sin discriminación de edad, sexo, o discapacidad. El primer Objetivo Estratégico (OE) incluye cuatro ejes de cambio: 1. La implementación de una estrategia Rehabilitación basada en la comunidad (RBC) en 5 municipios de Pinar del Rio para tomar en cuenta la discapacidad intelectual profunda y severa. 2. El apoyo a la creación, por los actores cubanos, de un modelo de RBC adaptado al contexto cubano. 3. La formación de los recursos técnicos necesarios al nivel nacional, provincial y municipal para asegurar la duplicación de la RBC. 4. Un apoyo para lograr que la metodología RBC este implementada de manera autónoma por los actores locales. El segundo OE contribuye al empoderamiento y la participación de las personas con discapacidad (PcD) y sus familias, con énfasis en las mujeres, en el desarrollo socioeconómico del oriente cubano. Tiene tres ejes de cambio 1. El reforzamiento de capacidades de las Organizaciones de PcD y de mujeres; 2. El fomento de oportunidades formativas inclusivas y diversas, e la implementan de iniciativas económicas para PcD y en mujeres en particular; 3. El cambio de percepción de la población sobre los derechos y competencias de las personas con discapacidad y la equidad de género. Las intervenciones se implementan con 16 contrapartes cubanas de distintos naturaleza y niveles, y, una colaboración con una ONG belga. En un contexto cubano muy sensible al cambio climático, ambos OE incorporen el tema de medio ambiente. --",No gender component,Not screened,NGO Handicap International Belgium,Donor country-based NGO,22000,22000,Principal,No,inclusion,employment,intellectual,Not education,family,advocacy,Mixed,"employment, family, advocacy"
2017078773,2017040147670,2018,D02,ODA Grants,Korea,Bangladesh,0.0916459,0.0916459,"I.2.a. Health, General",Health policy and administrative management,Multi-year Competency Enhancement of Diagnosis and Treatment of Autistic Spectrum Disorder for Child (Bangladesh),MULTI-YEAR COMPETENCY ENHANCEMENT OF DIAGNOSIS AND TREATMENT OF AUTISTIC SPECTRUM DISORDER FOR CHILD (BANGLADESH),"Korea`s autism spectrum disorder policy, the latest domestic trends, diagnosis and treatment methods, contributing to diagnosis and treatment of children with autism spectrum disorder in Bangladesh",No gender component,No disability component,KOICA,Donor Government,11000,11000,Principal,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,Other,""
